資訊清單建立者	17807
日期	06-Jul-2026 22:46:30
目前工作零件	D:\OH-WorkSpace\GGV_LTS_SensitivityAnsysis_V4.0\chengdu endurance track4.0_dwg.prt
節點名	queenzzzworkbook


曲線的曲率分析
------------------------------------------------------------
分析曲線 #               1
檢查點的個數 =             6250
投影平面 = 無
  參數      XC          YC          ZC      曲率      力矩
  0.000000  -319.976404  -339.625700    0.000000  5.252387e-03  0.000000e+00
  0.000160  -319.984944  -339.767228    0.000000  5.384000e-03  0.000000e+00
  0.000320  -319.993591  -339.908733    0.000000  5.532580e-03  0.000000e+00
  0.000480  -320.002348  -340.050214    0.000000  5.697239e-03  0.000000e+00
  0.000640  -320.011219  -340.191672    0.000000  5.877084e-03  0.000000e+00
  0.000800  -320.020206  -340.333108    0.000000  6.071218e-03  0.000000e+00
  0.000960  -320.029315  -340.474522    0.000000  6.278742e-03  0.000000e+00
  0.001120  -320.038548  -340.615916    0.000000  6.498755e-03  0.000000e+00
  0.001280  -320.047911  -340.757289    0.000000  6.730350e-03  0.000000e+00
  0.001440  -320.057407  -340.898643    0.000000  6.972621e-03  0.000000e+00
  0.001600  -320.067043  -341.039979    0.000000  7.224657e-03  0.000000e+00
  0.001760  -320.076823  -341.181297    0.000000  7.485544e-03  0.000000e+00
  0.001920  -320.086753  -341.322599    0.000000  7.754367e-03  0.000000e+00
  0.002080  -320.096837  -341.463884    0.000000  8.030209e-03  0.000000e+00
  0.002240  -320.107082  -341.605155    0.000000  8.312150e-03  0.000000e+00
  0.002400  -320.117492  -341.746412    0.000000  8.599268e-03  0.000000e+00
  0.002560  -320.128075  -341.887655    0.000000  8.890641e-03  0.000000e+00
  0.002720  -320.138836  -342.028886    0.000000  9.185346e-03  0.000000e+00
  0.002880  -320.149781  -342.170107    0.000000  9.482457e-03  0.000000e+00
  0.003040  -320.160916  -342.311317    0.000000  9.781051e-03  0.000000e+00
  0.003201  -320.172247  -342.452518    0.000000  1.008020e-02  0.000000e+00
  0.003361  -320.183780  -342.593710    0.000000  1.037899e-02  0.000000e+00
  0.003521  -320.195522  -342.734896    0.000000  1.067648e-02  0.000000e+00
  0.003681  -320.207479  -342.876075    0.000000  1.097177e-02  0.000000e+00
  0.003841  -320.219655  -343.017250    0.000000  1.126392e-02  0.000000e+00
  0.004001  -320.232059  -343.158420    0.000000  1.155202e-02  0.000000e+00
  0.004161  -320.244695  -343.299587    0.000000  1.183516e-02  0.000000e+00
  0.004321  -320.257570  -343.440752    0.000000  1.211242e-02  0.000000e+00
  0.004481  -320.270689  -343.581916    0.000000  1.238290e-02  0.000000e+00
