  …¢”µ      XC          YC          ZC      ÇúÂÊ      Á¦¾Ø
  0.000000  -186.463034   22.445857    0.000000  -4.359883e-03  0.000000e+00
  0.000258  -186.692067   22.448016    0.000000  -4.486672e-03  0.000000e+00
  0.000516  -186.921100   22.450410    0.000000  -4.602824e-03  0.000000e+00
  0.000774  -187.150134   22.453045    0.000000  -4.708538e-03  0.000000e+00
  0.001033  -187.379172   22.455927    0.000000  -4.804018e-03  0.000000e+00
  0.001291  -187.608216   22.459062    0.000000  -4.889469e-03  0.000000e+00
  0.001549  -187.837268   22.462453    0.000000  -4.965098e-03  0.000000e+00
  0.001807  -188.066331   22.466105    0.000000  -5.031115e-03  0.000000e+00
  0.002065  -188.295408   22.470022    0.000000  -5.087731e-03  0.000000e+00
  0.002323  -188.524499   22.474205    0.000000  -5.135159e-03  0.000000e+00
  0.002581  -188.753608   22.478659    0.000000  -5.173614e-03  0.000000e+00
  0.002839  -188.982737   22.483385    0.000000  -5.203313e-03  0.000000e+00
  0.003098  -189.211887   22.488384    0.000000  -5.224476e-03  0.000000e+00
  0.003356  -189.441061   22.493659    0.000000  -5.237322e-03  0.000000e+00
  0.003614  -189.670261   22.499209    0.000000  -5.242073e-03  0.000000e+00
  0.003872  -189.899489   22.505036    0.000000  -5.238953e-03  0.000000e+00
  0.004130  -190.128747   22.511139    0.000000  -5.228185e-03  0.000000e+00
  0.004388  -190.358038   22.517518    0.000000  -5.209996e-03  0.000000e+00
  0.004646  -190.587362   22.524173    0.000000  -5.184612e-03  0.000000e+00
  0.004904  -190.816721   22.531101    0.000000  -5.152261e-03  0.000000e+00
  0.005163  -191.046119   22.538302    0.000000  -5.113172e-03  0.000000e+00
  0.005421  -191.275556   22.545774    0.000000  -5.067573e-03  0.000000e+00
  0.005679  -191.505034   22.553514    0.000000  -5.015695e-03  0.000000e+00
  0.005937  -191.734555   22.561521    0.000000  -4.957767e-03  0.000000e+00
  0.006195  -191.964121   22.569791    0.000000  -4.894021e-03  0.000000e+00
  0.006453  -192.193733   22.578321    0.000000  -4.824687e-03  0.000000e+00
  0.006711  -192.423393   22.587107    0.000000  -4.749996e-03  0.000000e+00
  0.006970  -192.653102   22.596147    0.000000  -4.670180e-03  0.000000e+00
  0.007228  -192.882862   22.605436    0.000000  -4.585469e-03  0.000000e+00
  0.007486  -193.112674   22.614969    0.000000  -4.496093e-03  0.000000e+00
  0.007744  -193.342540   22.624743    0.000000  -4.402283e-03  0.000000e+00
  0.008002  -193.572462   22.634753    0.000000  -4.304270e-03  0.000000e+00
  0.008260  -193.802439   22.644993    0.000000  -4.202283e-03  0.000000e+00
  0.008518  -194.032474   22.655459    0.000000  -4.096549e-03  0.000000e+00
  0.008776  -194.262567   22.666146    0.000000  -3.987299e-03  0.000000e+00
  0.009035  -194.492720   22.677046    0.000000  -3.874759e-03  0.000000e+00
  0.009293  -194.722934   22.688156    0.000000  -3.759155e-03  0.000000e+00
  0.009551  -194.953210   22.699469    0.000000  -3.640714e-03  0.000000e+00
  0.009809  -195.183548   22.710978    0.000000  -3.519660e-03  0.000000e+00
  0.010067  -195.413949   22.722678    0.000000  -3.396216e-03  0.000000e+00
  0.010325  -195.644415   22.734563    0.000000  -3.270606e-03  0.000000e+00
  0.010583  -195.874946   22.746625    0.000000  -3.143050e-03  0.000000e+00
  0.010842  -196.105542   22.758859    0.000000  -3.013770e-03  0.000000e+00
  0.011100  -196.336204   22.771257    0.000000  -2.882983e-03  0.000000e+00
  0.011358  -196.566933   22.783813    0.000000  -2.750908e-03  0.000000e+00
  0.011616  -196.797729   22.796520    0.000000  -2.617761e-03  0.000000e+00
  0.011874  -197.028592   22.809370    0.000000  -2.483758e-03  0.000000e+00
  0.012132  -197.259523   22.822358    0.000000  -2.349112e-03  0.000000e+00
  0.012390  -197.490522   22.835475    0.000000  -2.214035e-03  0.000000e+00
  0.012648  -197.721588   22.848714    0.000000  -2.078740e-03  0.000000e+00
  0.012907  -197.952723   22.862069    0.000000  -1.943435e-03  0.000000e+00
  0.013165  -198.183925   22.875533    0.000000  -1.808329e-03  0.000000e+00
  0.013423  -198.415195   22.889098    0.000000  -1.673631e-03  0.000000e+00
  0.013681  -198.646533   22.902756    0.000000  -1.539544e-03  0.000000e+00
  0.013939  -198.877938   22.916502    0.000000  -1.406275e-03  0.000000e+00
  0.014197  -199.109410   22.930327    0.000000  -1.274026e-03  0.000000e+00
  0.014455  -199.340948   22.944225    0.000000  -1.143000e-03  0.000000e+00
  0.014713  -199.572552   22.958188    0.000000  -1.013397e-03  0.000000e+00
  0.014972  -199.804221   22.972210    0.000000  -8.854183e-04  0.000000e+00
  0.015230  -200.035955   22.986284    0.000000  -7.592612e-04  0.000000e+00
  0.015488  -200.267752   23.000402    0.000000  -6.351239e-04  0.000000e+00
  0.015746  -200.499612   23.014559    0.000000  -5.132030e-04  0.000000e+00
  0.016004  -200.731534   23.028747    0.000000  -3.936940e-04  0.000000e+00
  0.016262  -200.963516   23.042961    0.000000  -2.767918e-04  0.000000e+00
  0.016520  -201.195558   23.057193    0.000000  -1.626902e-04  0.000000e+00
  0.016779  -201.427657   23.071437    0.000000  -5.158245e-05  0.000000e+00
  0.017037  -201.659813   23.085688    0.000000  5.633916e-05  0.000000e+00
  0.017295  -201.892025   23.099939    0.000000  1.608828e-04  0.000000e+00
  0.017553  -202.124289   23.114184    0.000000  2.618572e-04  0.000000e+00
  0.017811  -202.356606   23.128419    0.000000  3.590718e-04  0.000000e+00
  0.018069  -202.588972   23.142637    0.000000  4.523360e-04  0.000000e+00
  0.018327  -202.821386   23.156833    0.000000  5.414599e-04  0.000000e+00
  0.018585  -203.053846   23.171003    0.000000  6.262537e-04  0.000000e+00
  0.018844  -203.286350   23.185141    0.000000  7.065276e-04  0.000000e+00
  0.019102  -203.518895   23.199244    0.000000  7.820920e-04  0.000000e+00
  0.019360  -203.751480   23.213307    0.000000  8.527570e-04  0.000000e+00
  0.019618  -203.984101   23.227325    0.000000  9.183328e-04  0.000000e+00
  0.019876  -204.216756   23.241295    0.000000  9.786291e-04  0.000000e+00
  0.020134  -204.449442   23.255214    0.000000  1.033455e-03  0.000000e+00
  0.020392  -204.682157   23.269079    0.000000  1.082620e-03  0.000000e+00
  0.020650  -204.914898   23.282886    0.000000  1.125931e-03  0.000000e+00
  0.020909  -205.147660   23.296633    0.000000  1.163196e-03  0.000000e+00
  0.021167  -205.380442   23.310318    0.000000  1.194221e-03  0.000000e+00
  0.021425  -205.613240   23.323939    0.000000  1.218812e-03  0.000000e+00
  0.021683  -205.846051   23.337494    0.000000  1.236773e-03  0.000000e+00
  0.021941  -206.078870   23.350983    0.000000  1.247905e-03  0.000000e+00
  0.022199  -206.311694   23.364404    0.000000  1.252011e-03  0.000000e+00
  0.022457  -206.544520   23.377756    0.000000  1.248889e-03  0.000000e+00
  0.022716  -206.777343   23.391041    0.000000  1.238337e-03  0.000000e+00
  0.022974  -207.010160   23.404258    0.000000  1.220151e-03  0.000000e+00
  0.023232  -207.242966   23.417407    0.000000  1.194122e-03  0.000000e+00
  0.023490  -207.475756   23.430491    0.000000  1.160043e-03  0.000000e+00
  0.023748  -207.708527   23.443511    0.000000  1.117810e-03  0.000000e+00
  0.024006  -207.941273   23.456468    0.000000  1.067559e-03  0.000000e+00
  0.024264  -208.173991   23.469366    0.000000  1.009452e-03  0.000000e+00
  0.024522  -208.406674   23.482207    0.000000  9.436517e-04  0.000000e+00
  0.024781  -208.639319   23.494995    0.000000  8.703164e-04  0.000000e+00
  0.025039  -208.871920   23.507733    0.000000  7.896015e-04  0.000000e+00
  0.025297  -209.104471   23.520425    0.000000  7.016602e-04  0.000000e+00
  0.025555  -209.336969   23.533077    0.000000  6.066428e-04  0.000000e+00
  0.025813  -209.569407   23.545692    0.000000  5.046974e-04  0.000000e+00
  0.026071  -209.801781   23.558276    0.000000  3.959696e-04  0.000000e+00
  0.026329  -210.034084   23.570835    0.000000  2.806028e-04  0.000000e+00
  0.026588  -210.266313   23.583375    0.000000  1.587387e-04  0.000000e+00
  0.026846  -210.498460   23.595902    0.000000  3.051663e-05  0.000000e+00
  0.027104  -210.730521   23.608423    0.000000  -1.039253e-04  0.000000e+00
  0.027362  -210.962491   23.620944    0.000000  -2.444505e-04  0.000000e+00
  0.027620  -211.194365   23.633474    0.000000  -3.909238e-04  0.000000e+00
  0.027878  -211.426136   23.646019    0.000000  -5.432108e-04  0.000000e+00
  0.028136  -211.657799   23.658588    0.000000  -7.011779e-04  0.000000e+00
  0.028394  -211.889350   23.671188    0.000000  -8.646921e-04  0.000000e+00
  0.028653  -212.120783   23.683828    0.000000  -1.033620e-03  0.000000e+00
  0.028911  -212.352094   23.696517    0.000000  -1.207830e-03  0.000000e+00
  0.029169  -212.583276   23.709265    0.000000  -1.387187e-03  0.000000e+00
  0.029427  -212.814326   23.722079    0.000000  -1.571558e-03  0.000000e+00
  0.029685  -213.045238   23.734970    0.000000  -1.760807e-03  0.000000e+00
  0.029943  -213.276008   23.747947    0.000000  -1.954798e-03  0.000000e+00
  0.030201  -213.506631   23.761020    0.000000  -2.153393e-03  0.000000e+00
  0.030459  -213.737103   23.774200    0.000000  -2.356451e-03  0.000000e+00
  0.030718  -213.967419   23.787497    0.000000  -2.563830e-03  0.000000e+00
  0.030976  -214.197575   23.800921    0.000000  -2.775383e-03  0.000000e+00
  0.031234  -214.427568   23.814483    0.000000  -2.990963e-03  0.000000e+00
  0.031492  -214.657393   23.828194    0.000000  -3.210416e-03  0.000000e+00
  0.031750  -214.887047   23.842065    0.000000  -3.433586e-03  0.000000e+00
  0.032008  -215.116527   23.856107    0.000000  -3.660313e-03  0.000000e+00
  0.032266  -215.345828   23.870333    0.000000  -3.890430e-03  0.000000e+00
  0.032525  -215.574950   23.884752    0.000000  -4.123766e-03  0.000000e+00
  0.032783  -215.803888   23.899378    0.000000  -4.360145e-03  0.000000e+00
  0.033041  -216.032640   23.914221    0.000000  -4.599383e-03  0.000000e+00
  0.033299  -216.261204   23.929295    0.000000  -4.841293e-03  0.000000e+00
  0.033557  -216.489578   23.944609    0.000000  -5.085676e-03  0.000000e+00
  0.033815  -216.717760   23.960178    0.000000  -5.332330e-03  0.000000e+00
  0.034073  -216.945749   23.976013    0.000000  -5.581043e-03  0.000000e+00
  0.034331  -217.173544   23.992126    0.000000  -5.831596e-03  0.000000e+00
  0.034590  -217.401144   24.008530    0.000000  -6.083760e-03  0.000000e+00
  0.034848  -217.628548   24.025238    0.000000  -6.337299e-03  0.000000e+00
  0.035106  -217.855757   24.042260    0.000000  -6.591966e-03  0.000000e+00
  0.035364  -218.082770   24.059611    0.000000  -6.847506e-03  0.000000e+00
  0.035622  -218.309588   24.077303    0.000000  -7.103652e-03  0.000000e+00
  0.035880  -218.536213   24.095348    0.000000  -7.360128e-03  0.000000e+00
  0.036138  -218.762644   24.113758    0.000000  -7.616649e-03  0.000000e+00
  0.036396  -218.988884   24.132548    0.000000  -7.872917e-03  0.000000e+00
  0.036655  -219.214936   24.151728    0.000000  -8.128623e-03  0.000000e+00
  0.036913  -219.440800   24.171312    0.000000  -8.383449e-03  0.000000e+00
  0.037171  -219.666481   24.191312    0.000000  -8.637064e-03  0.000000e+00
  0.037429  -219.891982   24.211740    0.000000  -8.889127e-03  0.000000e+00
  0.037687  -220.117306   24.232610    0.000000  -9.139284e-03  0.000000e+00
  0.037945  -220.342457   24.253933    0.000000  -9.387174e-03  0.000000e+00
  0.038203  -220.567441   24.275723    0.000000  -9.632419e-03  0.000000e+00
  0.038462  -220.792262   24.297990    0.000000  -9.874635e-03  0.000000e+00
  0.038720  -221.016925   24.320749    0.000000  -1.011343e-02  0.000000e+00
  0.038978  -221.241438   24.344009    0.000000  -1.034838e-02  0.000000e+00
  0.039236  -221.465806   24.367785    0.000000  -1.057911e-02  0.000000e+00
  0.039494  -221.690037   24.392087    0.000000  -1.080541e-02  0.000000e+00
  0.039752  -221.914138   24.416928    0.000000  -1.102721e-02  0.000000e+00
  0.040010  -222.138117   24.442319    0.000000  -1.124446e-02  0.000000e+00
  0.040268  -222.361983   24.468272    0.000000  -1.145712e-02  0.000000e+00
  0.040527  -222.585744   24.494799    0.000000  -1.166515e-02  0.000000e+00
  0.040785  -222.809410   24.521911    0.000000  -1.186852e-02  0.000000e+00
  0.041043  -223.032990   24.549619    0.000000  -1.206721e-02  0.000000e+00
  0.041301  -223.256494   24.577934    0.000000  -1.226123e-02  0.000000e+00
  0.041559  -223.479931   24.606869    0.000000  -1.245058e-02  0.000000e+00
  0.041817  -223.703313   24.636434    0.000000  -1.263529e-02  0.000000e+00
  0.042075  -223.926648   24.666639    0.000000  -1.281539e-02  0.000000e+00
  0.042334  -224.149948   24.697498    0.000000  -1.299094e-02  0.000000e+00
  0.042592  -224.373222   24.729019    0.000000  -1.316199e-02  0.000000e+00
  0.042850  -224.596481   24.761214    0.000000  -1.332865e-02  0.000000e+00
  0.043108  -224.819736   24.794095    0.000000  -1.349101e-02  0.000000e+00
  0.043366  -225.042997   24.827671    0.000000  -1.364918e-02  0.000000e+00
  0.043624  -225.266274   24.861953    0.000000  -1.380330e-02  0.000000e+00
  0.043882  -225.489576   24.896953    0.000000  -1.395352e-02  0.000000e+00
  0.044140  -225.712915   24.932681    0.000000  -1.410001e-02  0.000000e+00
  0.044399  -225.936300   24.969148    0.000000  -1.424295e-02  0.000000e+00
  0.044657  -226.159740   25.006363    0.000000  -1.438256e-02  0.000000e+00
  0.044915  -226.383244   25.044338    0.000000  -1.451904e-02  0.000000e+00
  0.045173  -226.606821   25.083084    0.000000  -1.465264e-02  0.000000e+00
  0.045431  -226.830480   25.122611    0.000000  -1.478360e-02  0.000000e+00
  0.045689  -227.054229   25.162929    0.000000  -1.491222e-02  0.000000e+00
  0.045947  -227.278075   25.204049    0.000000  -1.503876e-02  0.000000e+00
  0.046205  -227.502025   25.245981    0.000000  -1.516354e-02  0.000000e+00
  0.046464  -227.726086   25.288737    0.000000  -1.528688e-02  0.000000e+00
  0.046722  -227.950263   25.332326    0.000000  -1.540912e-02  0.000000e+00
  0.046980  -228.174563   25.376759    0.000000  -1.553060e-02  0.000000e+00
  0.047238  -228.398990   25.422046    0.000000  -1.565170e-02  0.000000e+00
  0.047496  -228.623548   25.468199    0.000000  -1.577281e-02  0.000000e+00
  0.047754  -228.848241   25.515227    0.000000  -1.589432e-02  0.000000e+00
  0.048012  -229.073070   25.563141    0.000000  -1.601664e-02  0.000000e+00
  0.048271  -229.298039   25.611953    0.000000  -1.614021e-02  0.000000e+00
  0.048529  -229.523146   25.661671    0.000000  -1.626548e-02  0.000000e+00
  0.048787  -229.748394   25.712308    0.000000  -1.639289e-02  0.000000e+00
  0.049045  -229.973780   25.763873    0.000000  -1.652293e-02  0.000000e+00
  0.049303  -230.199304   25.816378    0.000000  -1.665609e-02  0.000000e+00
  0.049561  -230.424961   25.869833    0.000000  -1.679287e-02  0.000000e+00
  0.049819  -230.650749   25.924250    0.000000  -1.693378e-02  0.000000e+00
  0.050077  -230.876662   25.979638    0.000000  -1.707938e-02  0.000000e+00
  0.050336  -231.102695   26.036009    0.000000  -1.723021e-02  0.000000e+00
  0.050594  -231.328839   26.093374    0.000000  -1.738684e-02  0.000000e+00
  0.050852  -231.555087   26.151744    0.000000  -1.754987e-02  0.000000e+00
  0.051110  -231.781429   26.211130    0.000000  -1.771989e-02  0.000000e+00
  0.051368  -232.007854   26.271543    0.000000  -1.789755e-02  0.000000e+00
  0.051626  -232.234351   26.332994    0.000000  -1.808349e-02  0.000000e+00
  0.051884  -232.460904   26.395495    0.000000  -1.827839e-02  0.000000e+00
  0.052142  -232.687499   26.459058    0.000000  -1.848293e-02  0.000000e+00
  0.052401  -232.914121   26.523693    0.000000  -1.869786e-02  0.000000e+00
  0.052659  -233.140750   26.589412    0.000000  -1.892392e-02  0.000000e+00
  0.052917  -233.367369   26.656227    0.000000  -1.916189e-02  0.000000e+00
  0.053175  -233.593954   26.724150    0.000000  -1.941259e-02  0.000000e+00
  0.053433  -233.820486   26.793193    0.000000  -1.967689e-02  0.000000e+00
  0.053691  -234.046938   26.863367    0.000000  -1.995566e-02  0.000000e+00
  0.053949  -234.273285   26.934684    0.000000  -2.024984e-02  0.000000e+00
  0.054208  -234.499500   27.007158    0.000000  -2.056043e-02  0.000000e+00
  0.054466  -234.725554   27.080800    0.000000  -2.088843e-02  0.000000e+00
  0.054724  -234.951415   27.155622    0.000000  -2.123495e-02  0.000000e+00
  0.054982  -235.177051   27.231637    0.000000  -2.160058e-02  0.000000e+00
  0.055240  -235.402427   27.308858    0.000000  -2.198446e-02  0.000000e+00
  0.055498  -235.627506   27.387298    0.000000  -2.238552e-02  0.000000e+00
  0.055756  -235.852251   27.466969    0.000000  -2.280264e-02  0.000000e+00
  0.056014  -236.076623   27.547884    0.000000  -2.323466e-02  0.000000e+00
  0.056273  -236.300582   27.630055    0.000000  -2.368040e-02  0.000000e+00
  0.056531  -236.524085   27.713495    0.000000  -2.413865e-02  0.000000e+00
  0.056789  -236.747092   27.798216    0.000000  -2.460810e-02  0.000000e+00
  0.057047  -236.969559   27.884230    0.000000  -2.508744e-02  0.000000e+00
  0.057305  -237.191442   27.971548    0.000000  -2.557525e-02  0.000000e+00
  0.057563  -237.412699   28.060180    0.000000  -2.607006e-02  0.000000e+00
  0.057821  -237.633285   28.150139    0.000000  -2.657029e-02  0.000000e+00
  0.058080  -237.853156   28.241432    0.000000  -2.707428e-02  0.000000e+00
  0.058338  -238.072270   28.334071    0.000000  -2.758028e-02  0.000000e+00
  0.058596  -238.290582   28.428063    0.000000  -2.808639e-02  0.000000e+00
  0.058854  -238.508049   28.523417    0.000000  -2.859062e-02  0.000000e+00
  0.059112  -238.724630   28.620139    0.000000  -2.909083e-02  0.000000e+00
  0.059370  -238.940283   28.718236    0.000000  -2.958474e-02  0.000000e+00
  0.059628  -239.154967   28.817713    0.000000  -3.006994e-02  0.000000e+00
  0.059886  -239.368644   28.918575    0.000000  -3.054383e-02  0.000000e+00
  0.060145  -239.581276   29.020825    0.000000  -3.100367e-02  0.000000e+00
  0.060403  -239.792826   29.124465    0.000000  -3.144654e-02  0.000000e+00
  0.060661  -240.003258   29.229497    0.000000  -3.186934e-02  0.000000e+00
  0.060919  -240.212542   29.335919    0.000000  -3.226880e-02  0.000000e+00
  0.061177  -240.420644   29.443732    0.000000  -3.264144e-02  0.000000e+00
  0.061435  -240.627538   29.552931    0.000000  -3.298362e-02  0.000000e+00
  0.061693  -240.833195   29.663514    0.000000  -3.329150e-02  0.000000e+00
  0.061951  -241.037592   29.775473    0.000000  -3.356107e-02  0.000000e+00
  0.062210  -241.240708   29.888803    0.000000  -3.378813e-02  0.000000e+00
  0.062468  -241.442525   30.003494    0.000000  -3.396829e-02  0.000000e+00
  0.062726  -241.643026   30.119537    0.000000  -3.409704e-02  0.000000e+00
  0.062984  -241.842199   30.236918    0.000000  -3.416967e-02  0.000000e+00
  0.063242  -242.040035   30.355624    0.000000  -3.418134e-02  0.000000e+00
  0.063500  -242.236528   30.475640    0.000000  -3.412711e-02  0.000000e+00
  0.063758  -242.431677   30.596948    0.000000  -3.400191e-02  0.000000e+00
  0.064017  -242.625483   30.719528    0.000000  -3.380057e-02  0.000000e+00
  0.064275  -242.817952   30.843359    0.000000  -3.351790e-02  0.000000e+00
  0.064533  -243.009094   30.968418    0.000000  -3.314862e-02  0.000000e+00
  0.064791  -243.198924   31.094677    0.000000  -3.268748e-02  0.000000e+00
  0.065049  -243.387459   31.222111    0.000000  -3.212924e-02  0.000000e+00
  0.065307  -243.574723   31.350688    0.000000  -3.146870e-02  0.000000e+00
  0.065565  -243.760746   31.480376    0.000000  -3.070075e-02  0.000000e+00
  0.065823  -243.945558   31.611140    0.000000  -2.982042e-02  0.000000e+00
  0.066082  -244.129200   31.742942    0.000000  -2.882287e-02  0.000000e+00
  0.066340  -244.311714   31.875744    0.000000  -2.770349e-02  0.000000e+00
  0.066598  -244.493150   32.009502    0.000000  -2.645844e-02  0.000000e+00
  0.066856  -244.673562   32.144173    0.000000  -2.508911e-02  0.000000e+00
  0.067114  -244.853010   32.279707    0.000000  -2.360004e-02  0.000000e+00
  0.067372  -245.031559   32.416055    0.000000  -2.199637e-02  0.000000e+00
  0.067630  -245.209280   32.553165    0.000000  -2.028378e-02  0.000000e+00
  0.067888  -245.386246   32.690981    0.000000  -1.846849e-02  0.000000e+00
  0.068147  -245.562535   32.829447    0.000000  -1.655714e-02  0.000000e+00
  0.068405  -245.738231   32.968503    0.000000  -1.455681e-02  0.000000e+00
  0.068663  -245.913417   33.108087    0.000000  -1.247491e-02  0.000000e+00
  0.068921  -246.088183   33.248136    0.000000  -1.031915e-02  0.000000e+00
  0.069179  -246.262619   33.388584    0.000000  -8.097470e-03  0.000000e+00
  0.069437  -246.436819   33.529363    0.000000  -5.818011e-03  0.000000e+00
  0.069695  -246.610879   33.670403    0.000000  -3.489028e-03  0.000000e+00
  0.069954  -246.784895   33.811633    0.000000  -1.118854e-03  0.000000e+00
  0.070212  -246.958965   33.952979    0.000000  1.284148e-03  0.000000e+00
  0.070470  -247.133189   34.094367    0.000000  3.711635e-03  0.000000e+00
  0.070728  -247.307667   34.235720    0.000000  6.155330e-03  0.000000e+00
  0.070986  -247.482499   34.376960    0.000000  8.607060e-03  0.000000e+00
  0.071244  -247.657785   34.518007    0.000000  1.105879e-02  0.000000e+00
  0.071502  -247.833625   34.658779    0.000000  1.350268e-02  0.000000e+00
  0.071760  -248.010117   34.799195    0.000000  1.593110e-02  0.000000e+00
  0.072019  -248.187360   34.939170    0.000000  1.833665e-02  0.000000e+00
  0.072277  -248.365449   35.078619    0.000000  2.071226e-02  0.000000e+00
  0.072535  -248.544480   35.217456    0.000000  2.305112e-02  0.000000e+00
  0.072793  -248.724545   35.355595    0.000000  2.534681e-02  0.000000e+00
  0.073051  -248.905733   35.492945    0.000000  2.759327e-02  0.000000e+00
  0.073309  -249.088133   35.629419    0.000000  2.978485e-02  0.000000e+00
  0.073567  -249.271827   35.764925    0.000000  3.191637e-02  0.000000e+00
  0.073826  -249.456897   35.899374    0.000000  3.398309e-02  0.000000e+00
  0.074084  -249.643418   36.032672    0.000000  3.598079e-02  0.000000e+00
  0.074342  -249.831464   36.164727    0.000000  3.790579e-02  0.000000e+00
  0.074600  -250.021103   36.295447    0.000000  3.975495e-02  0.000000e+00
  0.074858  -250.212397   36.424737    0.000000  4.152575e-02  0.000000e+00
  0.075116  -250.405403   36.552504    0.000000  4.321626e-02  0.000000e+00
  0.075374  -250.600175   36.678652    0.000000  4.482520e-02  0.000000e+00
  0.075632  -250.796759   36.803087    0.000000  4.635192e-02  0.000000e+00
  0.075891  -250.995194   36.925713    0.000000  4.779646e-02  0.000000e+00
  0.076149  -251.195515   37.046435    0.000000  4.915954e-02  0.000000e+00
  0.076407  -251.397747   37.165157    0.000000  5.044256e-02  0.000000e+00
  0.076665  -251.601910   37.281784    0.000000  5.164761e-02  0.000000e+00
